ID,Name,Address,Borough,Postcode,Reviews,Price for 3 Nights (£),Lat,Long
0,DoubleTree by Hilton London Angel Kings Cross,60 Pentonville Road,Islington,N1 9LA,4.2,217,NaN,NaN
1,Ibis Budget London Hounslow,20-28 Staines Road,Hounslow,TW3 3JS,3.5,104,NaN,NaN
2,Treehouse Hotel London,"Langham Place, Regent Street",Westminster,W1B 2QS,4.4,1046,NaN,NaN
3,The Resident Covent Garden,51 Bedford Street,Westminster,WC2R 0PZ,4.9,668,NaN,NaN
4,The Trafalgar St. James London,"2 Spring Gardens, Trafalgar Square",Westminster,SW1A 2TS,4.7,713,NaN,NaN
5,"The Soho Hotel, Firmdale Hotels","4 Richmond Mews, Dean Street",Westminster,W1D 3DH,4.9,1701,NaN,NaN
6,The Savoy,Strand,Westminster,WC2R 0EZ,4.8,1525,NaN,NaN
7,Sofitel London St James,6 Waterloo Place,Westminster,SW1Y 4AN,4.7,1056,NaN,NaN
8,"Covent Garden Hotel, Firmdale Hotels","10 Monmouth Street, Covent Garden",Camden,WC2H 9HB,4.8,1838,NaN,NaN
9,"The Clermont London, Charing Cross",The Strand,Westminster,WC2N 5HX,4.6,623,NaN,NaN
10,St Martins Lane London,45 St Martin's Lane,Westminster,WC2N 4DB,4.6,1141,NaN,NaN
11,Hotel Café Royal,68 Regent Street,Westminster,W1B 4DY,4.7,1670,NaN,NaN
12,One Aldwych,1 Aldwych,Westminster,WC2B 4BZ,4.7,1589,NaN,NaN
13,Great Scotland Yard Hotel,3-5 Great Scotland Yard,Westminster,SW1A 2HN,4.7,1512,NaN,NaN
14,Radisson Blu Edwardian Hampshire Hotel,31-36 Leicester Square,Westminster,WC2H 7LH,4.5,1536,NaN,NaN
15,Taj 51 Buckingham Gate,51 Buckingham Gate,Westminster,SW1E 6AF,4.8,1380,NaN,NaN
16,The London EDITION,10 Berners Street,Westminster,W1T 3NP,4.8,1798,NaN,NaN
17,41,41 Buckingham Palace Road,Westminster,SW1W 0PS,4.9,2604,NaN,NaN
18,"Club Quarters Hotel, Trafalgar Square",8 Northumberland Ave,Westminster,WC2N 5BY,4.4,415,NaN,NaN
19,L'oscar London,"2 Southampton Row, Bloomsbury",Camden,WC1B 4AA,4.8,2079,NaN,NaN
